Work Item ID,Work Type,Parent ID,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Labels,Components,Sprint,Story Points,Created,Comment
SP-15,Subtask,SP-14,handleAction dispatch for saveDay and clearDay,Every write re-runs the whole server script; handleAction(input) dispatches on input.action and returns fresh data.,Shashank Shukla,Rucha Joshi,High,Done,Done,server-script,Employee Calendar UI Widget,,,22/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Shashank Shukla;handleAction is the single entry point for every write. Adding an action means adding a branch here and nowhere else.
SP-16,Subtask,SP-14,Patch local maps and call refresh after a write,Avoids a full page reload; c.recalc recomputes the client-side totals from the patched maps.,Rucha Joshi,Rucha Joshi,Medium,Done,Done,widget,Employee Calendar UI Widget,,,22/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Rucha Joshi;Deliberately not calling a full reload. The server already returned fresh data alongside the write response.
SP-17,Story,SP-1,Bulk apply a shift across a date range,As an employee I can apply one shift type to a range of days so a normal month takes a few clicks.,Rucha Joshi,Geetha Nallamada,Medium,Done,Done,widget,Employee Calendar UI Widget,Sprint 2,5,22/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Rucha Joshi;Range apply covers the common case of an ordinary month in a few clicks.
SP-18,Subtask,SP-17,Reject CO and compound-OC shifts in bulkSave,blocksBulk deliberately refuses grants_co and consumes_co in a bulk write; those need the per-day entitlement transaction.,Shashank Shukla,Rucha Joshi,High,Done,Done,server-script,Employee Calendar UI Widget,,,24/Jun/26 10:00 AM,"03/Jul/26 05:00 PM;Shashank Shukla;Refused server-side, not merely hidden in the dropdown. The server call is reachable from the browser with any payload, so a client-only guard is no guard at all."
SP-19,Story,SP-1,Submit a month for approval and lock it,As an employee I submit a completed month; a lock row makes it read-only until the manager acts. Rejection reopens it for editing.,Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Employee Calendar UI Widget,Sprint 3,5,06/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Rucha Joshi;The lock is the presence of a row. A rejected row does not count as locked, which is what reopens the month for editing."
SP-20,Subtask,SP-19,Convert month index m+1 on every lock and summary read or write,"Client, data.month and input.month are 0-indexed; the stored u_month column is 1-indexed. The conversion happens at the table boundary.",Shashank Shukla,Rucha Joshi,Highest,Done,Done,server-script,Employee Calendar UI Widget,,,06/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;The number one footgun in this codebase. Client and input months are 0-indexed, the stored column is 1-indexed, and the conversion happens only at the table boundary."
SP-21,Story,SP-1,Landing page with links to calendar and approvals,Simple ShiftPay home screen greeting the signed-in user by first name with configurable Service Portal page IDs for both destinations.,Rucha Joshi,Geetha Nallamada,Low,Done,Done,widget,Landing Page UI Widget,Sprint 1,3,08/Jun/26 10:00 AM,"19/Jun/26 05:00 PM;Rucha Joshi;Both destination page IDs are widget options rather than hardcoded, so the portal can be restructured without a code change."
SP-22,Story,SP-2,Per-month approval queue with tabs and search,As a manager I see the submitted months of my reportees grouped by month with a search box and a stat strip.,Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Manager Approval UI Widget,Sprint 4,8,20/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Rucha Joshi;Tabs are per month, with the search box filtering the visible set only."
SP-23,Subtask,SP-22,Derive bulk selection from visible rows only,A row filtered out by tab or search can never be swept into a bulk action.,Rucha Joshi,Rucha Joshi,High,Done,Done,widget,Manager Approval UI Widget,,,22/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Rucha Joshi;Raised by Neha. A manager filtering the list and then clicking select all must not sweep in hidden rows, so the selection now derives from the visible rows."
SP-24,Story,SP-2,Approve or reject singly and in bulk with per-row guards,"Bulk loops actionOne rather than issuing a bulk query, so every authorisation and state guard applies per row.",Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Manager Approval UI Widget,Sprint 4,8,20/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Rucha Joshi;Bulk loops the single-row action rather than issuing one bulk query, so every authorisation and state guard applies per row. Slower and correct."
SP-25,Subtask,SP-24,actionOne returns its refusal instead of raising,Single-row path shows the refusal immediately; the bulk path collects the distinct reasons into one summary.,Shashank Shukla,Rucha Joshi,High,Done,Done,server-script,Manager Approval UI Widget,,,23/Jul/26 10:00 AM,31/Jul/26 05:00 PM;Shashank Shukla;Returning the refusal rather than throwing is what lets the bulk path collect distinct reasons into a single summary.
SP-26,Story,SP-2,Review drill-in with per-shift-type cost,As a manager I can open one month and see the day-by-day detail and the cost broken down by shift type before deciding.,Rucha Joshi,Geetha Nallamada,Medium,Done,Done,widget,Manager Approval UI Widget,Sprint 5,5,03/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Rucha Joshi;Cost is broken down per shift type so a manager can see what they are approving before they approve it.
SP-27,Story,SP-2,Manager day correction with mandatory reason,"As a manager I can fix one wrong day on a submitted month with a reason recorded, without minting an exception the employee could not have logged.",Shashank Shukla,Geetha Nallamada,High,Done,Done,approvals,Manager Approval UI Widget,Sprint 5,13,03/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Shashank Shukla;Highest risk story in this epic because it lets a manager change someone else's logged day. Guarded on SP-28 and audited on SP-29.
SP-28,Subtask,SP-27,Gate correctDay on assertReportee and isAllowedOn for that reportee,Also checks the month is in submitted status and that the date really falls inside the displayed month.,Shashank Shukla,Shashank Shukla,Highest,Done,Done,security,Manager Approval UI Widget,,,04/Aug/26 10:00 AM,"14/Aug/26 05:00 PM;Shashank Shukla;A manager may fix a mistake, not mint an exception. The new shift goes through the same allowed check as the employee, evaluated for that reportee rather than for the manager."
SP-29,Subtask,SP-27,Write an audit row per correction,"The audit table carries user, date, previous_shift, new_shift, reason, changed_by and changed_on. The employee's own comment on the day is left alone.",Divya Maram,Shashank Shukla,High,Done,Done,data,Manager Approval UI Widget,,,05/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Divya Maram;The employee's own comment on the day is left untouched. That is their note. The reason for the change belongs in the audit row.
SP-30,Story,SP-2,History tab scoped by approver equals me,"Read-only, spans every month, so the month picker and stat strip are hidden on it. A decision stays yours when someone changes team.",Rucha Joshi,Geetha Nallamada,Medium,Done,Done,widget,Manager Approval UI Widget,Sprint 6,5,17/Aug/26 10:00 AM,"28/Aug/26 05:00 PM;Rucha Joshi;Scoped by approver equals me, so a decision stays yours when someone changes team and the query cannot return anyone else's. Known limitation carried forward as SP-81."
SP-31,Story,SP-2,show_pay_amounts strips money server-side,"Money is removed from data rather than hidden in the template, because the server call is reachable from the browser with any payload.",Shashank Shukla,Geetha Nallamada,High,Done,Done,security,Manager Approval UI Widget,Sprint 6,3,17/Aug/26 10:00 AM,28/Aug/26 05:00 PM;Shashank Shukla;Money is stripped from the response server-side rather than hidden in the template. Hiding it in the template leaves it sitting in the network tab.
SP-32,Story,SP-3,Extract ShiftPayAggregator parameterised by user,"Weekly and monthly aggregation with the rate snapshot. It was inline in the calendar server script hard-wired to the session user, which made it unusable from the manager side.",Shashank Shukla,Geetha Nallamada,Highest,Done,Done,script-include,Script Includes,Sprint 3,8,06/Jul/26 10:00 AM,17/Jul/26 05:00 PM;Shashank Shukla;Extracted rather than copied. A second copy of payroll maths that drifts is a pay bug with a delayed fuse.
SP-33,Subtask,SP-32,Aggregates are recomputed not incremented,"After any day change recompute(dates) deletes and rewrites the affected month row and each affected week row, snapshotting the current rate.",Shashank Shukla,Shashank Shukla,High,Done,Done,script-include,Script Includes,,,07/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;Delete then insert per shift type. Incrementing drifts the moment one write fails halfway, and there is no cheap way to detect that it has."
SP-34,Story,SP-3,Extract ShiftPayEntitlements with the CO lifecycle,"Owns the entitlement table, the weekday-window arithmetic and the ordering rules for changing a day that grants or consumes a CO.",Shashank Shukla,Geetha Nallamada,Highest,Done,Done,script-include,Script Includes,Sprint 3,13,06/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;The ordering rules are the hard part here, not the table. See SP-35."
SP-35,Subtask,SP-34,Three-phase day-change transaction,"releasePrevious then write the day then commitForNew, with reserveForNew in between claiming the entitlement a CO needs. Pass a null new shift when clearing so the refusal wording is Cannot clear.",Shashank Shukla,Shashank Shukla,Highest,Done,Done,script-include,Script Includes,,,08/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;The entitlement decision has to be made before the day row exists and recorded after it is written, which is why this is three phases rather than one call."
SP-36,Subtask,SP-34,Seven weekday entitlement window,The window counts weekdays not calendar days; the consuming shift is only selectable on a weekday inside an unconsumed window.,Divya Maram,Shashank Shukla,High,Done,Done,co,Script Includes,,,08/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Divya Maram;Confirmed with Geetha on 8 Jul: seven weekdays, not seven calendar days. A window that expires over a long weekend defeats the purpose of the entitlement."
SP-37,Story,SP-3,ShiftPayCalendarRules owns catalogue holidays and allow flags,Composes the allowed-shift list per date and per month. A caller that knows only a user sys_id gets the whole rule set from the constructor.,Shashank Shukla,Geetha Nallamada,High,Done,Done,script-include,Script Includes,Sprint 4,8,20/Jul/26 10:00 AM,31/Jul/26 05:00 PM;Shashank Shukla;A caller that knows only a user sys_id gets the whole rule set from the constructor. That is what made the manager widget cheap to build.
SP-38,Subtask,SP-37,Rules builds and owns the Entitlements instance,"Callers use rules.entitlements() rather than constructing one alongside, or the catalogue gets read twice and the semantics can disagree.",Shashank Shukla,Shashank Shukla,High,Done,Done,script-include,Script Includes,,,21/Jul/26 10:00 AM,31/Jul/26 05:00 PM;Shashank Shukla;Constructing an entitlements instance alongside rules reads the catalogue twice and the two copies can then disagree about semantics. Always ask rules for it.
SP-39,Story,SP-3,Shift semantics are data-driven and keyed by sys_id,Display name and description become cosmetic; meaning moves into catalogue columns so renaming a shift type changes no behaviour.,Divya Maram,Geetha Nallamada,High,Done,Done,data,Script Includes,Sprint 2,8,22/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Divya Maram;The property to protect is that renaming a shift type in production changes no behaviour. Neha holds a case asserting exactly that.
SP-40,Subtask,SP-39,Add the semantic catalogue columns,"oc_role, allow_weekday, allow_weekend_holiday, day_category and color_hex. New columns on this application's tables are created without the u_ prefix.",Divya Maram,Divya Maram,High,Done,Done,data,Script Includes,,,23/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Divya Maram;New columns on this application's tables go in without the u_ prefix. Pre-existing u_ fields keep their names.
SP-41,Subtask,SP-39,Backfill semantics onto existing catalogue rows,"Run as a Fix Script rather than a background script, so the scope it will run in is readable before anything executes.",Divya Maram,Divya Maram,Medium,Done,Done,data,One Time Scripts,,,24/Jun/26 10:00 AM,"03/Jul/26 05:00 PM;Divya Maram;Run as a Fix Script rather than a background script, so the scope it will run in can be read back and asserted before anything executes."
SP-42,Subtask,SP-39,validateCatalogue raises a configError banner,"Set when any active row lacks day_category, or when CO is enabled but no consuming shift type exists.",Shashank Shukla,Divya Maram,Medium,Done,Done,server-script,Employee Calendar UI Widget,,,25/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Shashank Shukla;Fails loudly with a banner rather than behaving unpredictably on a half-configured catalogue.
SP-43,Story,SP-4,Power BI model over the Table API,"Built in Power BI Desktop, free and with no account. The file ships with its data cached so a demo needs only Desktop installed.",Geetha Nallamada,Geetha Nallamada,Medium,Done,Done,reporting,Power BI,Sprint 5,8,03/Aug/26 10:00 AM,"14/Aug/26 05:00 PM;Geetha Nallamada;The file ships with its data cached, so a demo needs Power BI Desktop installed and nothing else. No account and no gateway."
SP-44,Subtask,SP-43,Table API queries and refresh notes,"One query per table with only the columns the report uses, so a schema change surfaces as a named missing column rather than a blank visual.",Divya Maram,Geetha Nallamada,Medium,Done,Done,reporting,Power BI,,,04/Aug/26 10:00 AM,"14/Aug/26 05:00 PM;Divya Maram;Each query selects only the columns the report actually uses, so a schema change surfaces as a named missing column instead of a silently empty visual."
SP-45,Story,SP-4,Money measures read the summary snapshot only,"Amount and rate snapshot come from the summary table, never from live catalogue rates, so a rate change cannot rewrite history.",Geetha Nallamada,Geetha Nallamada,Highest,Done,Done,reporting,Power BI,Sprint 5,5,03/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Geetha Nallamada;Money comes from the summary snapshot and never from live catalogue rates. Otherwise a single rate change silently rewrites payroll history.
SP-46,Subtask,SP-45,Filter period type to month on every money measure,The summary table holds clipped week rows alongside month rows; without the filter every money figure double-counts.,Divya Maram,Geetha Nallamada,Highest,Done,Done,reporting,Power BI,,,05/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Divya Maram;The filter lives in the base measure so no page-level visual can forget it. Without it every money figure double-counts the clipped week rows.
SP-47,Story,SP-4,Monthly cost by shift type and by manager,Two report pages plus a drill-through to the day-level detail for one employee month.,Divya Maram,Geetha Nallamada,Medium,Done,Done,reporting,Power BI,Sprint 6,5,17/Aug/26 10:00 AM,28/Aug/26 05:00 PM;Divya Maram;Includes a drill-through to the day-level detail for a single employee month.
SP-48,Story,SP-4,Rebuild runbook for the report,"The Power BI README documents the rebuild from an empty Desktop install, including the two rules the model must not break.",Geetha Nallamada,Geetha Nallamada,Low,Done,Done,docs,Power BI,Sprint 6,3,19/Aug/26 10:00 AM,28/Aug/26 05:00 PM;Geetha Nallamada;Written against the assumption of a machine with nothing installed and no account.
SP-49,Story,SP-5,Playwright harness drives the deployed widgets,"One command runs a case end to end: sign in, open a browser, drive the widget, write the evidence record.",Neha Chauhan,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 4,8,20/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Neha Chauhan;One command per case: sign in, drive the widget, write the evidence record."
SP-50,Subtask,SP-49,Table API helper for setup and teardown,"Writing cases touch only the calendar of the signed-in account, two months ahead, and reverse themselves.",Neha Chauhan,Neha Chauhan,High,Done,Done,qa,testing,,,21/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Neha Chauhan;Hard constraint, to be kept permanently. Writing cases touch only the signed-in account's own calendar, two months ahead, and reverse themselves. Nothing in the pack approves, rejects or corrects a timesheet."
SP-51,Subtask,SP-49,Widget selectors and date maths in one library,Keeping every selector and the month arithmetic in one file makes a template change a one-file fix.,Neha Chauhan,Neha Chauhan,Medium,Done,Done,qa,testing,,,22/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Neha Chauhan;Every selector and the month arithmetic in one file, so a template change is a one-file fix rather than a hunt through nine specs."
SP-52,Story,SP-5,Word evidence records generated from run JSON,"The documents merge the case definition with the run output, so a document cannot claim an expected result the spec does not contain.",Neha Chauhan,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 5,8,03/Aug/26 10:00 AM,"14/Aug/26 05:00 PM;Neha Chauhan;The documents merge the case definition with the run output, so a document cannot claim an expected result the spec does not contain."
SP-53,Subtask,SP-52,Parse the case spec markdown,The case parser reads the test case markdown; its heading and pipe-table metadata format is the contract.,Neha Chauhan,Neha Chauhan,Medium,Done,Done,qa,testing,,,04/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Neha Chauhan;The heading and pipe-table metadata shape in the spec is a contract. Keep it when adding cases.
SP-54,Subtask,SP-52,House style isolated to one module,branding.py holds the house style and is the only file to touch for a rebrand.,Neha Chauhan,Neha Chauhan,Low,Done,Done,qa,testing,,,05/Aug/26 10:00 AM,14/Aug/26 05:00 PM;Neha Chauhan;A rebrand is one file. Nothing else in the generator knows about house style.
SP-55,Story,SP-5,Forty documented cases with nine automated,The test case markdown is the single source of truth for what a case is; nothing is retyped between spec and evidence.,Neha Chauhan,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 6,8,17/Aug/26 10:00 AM,"28/Aug/26 05:00 PM;Neha Chauhan;Three of the nine automated cases are expected to fail. A fully green run means the assertions broke, not that the product improved."
SP-56,Story,SP-5,Re-run the pack on the new instance,Six pass and the right three fail on dev227442. A fully green run is the broken one.,Neha Chauhan,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 7,3,31/Aug/26 10:00 AM,"03/Sept/26 05:00 PM;Neha Chauhan;Re-run on dev227442 after the retarget. Six pass, three fail, and the three that fail are the three that should."
SP-57,Bug,SP-5,Server refusals are invisible and the calendar repaints as success,"TC-SP-004. The save, clear and bulk client paths branch on an error field the server never sets, using addErrorMessage in all six refusal paths. The Manager Approval widget shows the correct pattern.",Rucha Joshi,Neha Chauhan,Highest,Open,,defect,Employee Calendar UI Widget,Sprint 7,5,10/Aug/26 10:00 AM,"10/Aug/26 10:00 AM;Rucha Joshi;Root cause found on 30 Jun. The client branches on an error field the server never sets, and all six refusal paths use addErrorMessage, which never reaches the widget response. So a refused write both fails silently and repaints as a success. Fix is in progress on both halves. The Manager Approval widget already shows the correct pattern."
SP-58,Bug,SP-5,Saturday offers six shift types where the rules allow four,"TC-SP-005. Two catalogue rows carry allow_weekend_holiday true that should not. A data fix, not a code fix.",Divya Maram,Neha Chauhan,High,In Progress,,defect,Script Includes,Sprint 7,3,11/Aug/26 10:00 AM,"11/Aug/26 10:00 AM;Divya Maram;The rule engine is behaving correctly and the catalogue is wrong, so this is a data fix. It will be applied as a Fix Script with the case re-run immediately after, so the case goes green for a reason we can name."
SP-59,Bug,SP-5,Manager lead tile bound to the wrong count,TC-SP-009. The lead stat tile reads the all count instead of the submitted count. Deliberate demo defect; fixing it requires updating the test case spec in the same change or the pack goes green for no visible reason.,Rucha Joshi,Neha Chauhan,Medium,Open,,defect,Manager Approval UI Widget,Sprint 7,2,12/Aug/26 10:00 AM,"12/Aug/26 10:00 AM;Rucha Joshi;Deliberate demo defect, agreed with Geetha on 12 Aug. Chosen because the counts are display-only and no write path reads them, so it cannot affect data. Whoever fixes it must update the test case spec in the same change, or the pack goes green for no visible reason."
SP-60,Bug,SP-5,Holiday schedule property does not exist,"TC-SP-030. The property the holiday lookup reads was never created, so no date is ever a holiday and nothing warns. Recorded but not automated because it produces no screenshot.",Shashank Shukla,Neha Chauhan,High,Open,,defect,Script Includes,Sprint 7,3,13/Aug/26 10:00 AM,"13/Aug/26 10:00 AM;Shashank Shukla;The property the holiday lookup reads was never created, and no property in that namespace exists at all. The lookup returns empty, every date classifies as a weekday or weekend, and nothing warns. Not automated because it produces no screenshot."
SP-61,Bug,SP-5,Calendar default option table names name no table,"TC-SP-031. The five defaults in the server script fall back to names that do not exist, so the widget runs only on the portal instance overrides.",Shashank Shukla,Neha Chauhan,Medium,Open,,defect,Employee Calendar UI Widget,Sprint 7,2,13/Aug/26 10:00 AM,13/Aug/26 10:00 AM;Shashank Shukla;The widget only runs because the portal instance overrides all five table names. On the defaults alone it would not find a table.
SP-62,Story,SP-6,Repeatable deployment path for widgets and script includes,"Writes go through the instance CLI, always after confirming which account is authenticated.",Shashank Shukla,Geetha Nallamada,High,Done,Done,deployment,tools,Sprint 3,5,06/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;Four traps are documented across the sub-items, and all four were hit for real during this sprint."
SP-63,Subtask,SP-62,Deploy script with a round-trip guard,"The deploy helper builds an ASCII-escaped, newline-normalised body file and refuses to emit one that does not round-trip. A push can return HTTP 200 and store garbage.",Shashank Shukla,Shashank Shukla,Highest,Done,Done,deployment,tools,,,07/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;A push can return HTTP 200 and store garbage, so the helper refuses to emit a body that does not round-trip and prints the readback command alongside the push."
SP-64,Subtask,SP-62,Always read back by query never by sys_id parameter,"The CLI get verb ignores the sys_id parameter and silently returns the first row of the whole table, so a readback verified that way can be a different record.",Shashank Shukla,Shashank Shukla,High,Done,Done,deployment,tools,,,09/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;The CLI get verb ignores the sys_id parameter and silently returns the first row of the whole table, so a readback verified that way can be a completely different record. Always query by sys_id in the encoded query."
SP-65,Subtask,SP-62,Confirm exactly one record after every create,Create is not idempotent and nothing warns you. A double create produced two active Script Includes sharing one API name eleven seconds apart.,Shashank Shukla,Shashank Shukla,High,Done,Done,deployment,tools,,,10/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;Create is not idempotent and nothing warns you. A double create produced two active Script Includes sharing one API name eleven seconds apart, which the platform then resolves unpredictably."
SP-66,Story,SP-6,Retire the legacy account from every application artifact,"The retired account must not appear as a shift owner, manager, approver or in the created and updated by fields on anything new.",Shashank Shukla,Geetha Nallamada,High,Done,Done,governance,One Time Scripts,Sprint 6,8,17/Aug/26 10:00 AM,"28/Aug/26 05:00 PM;Shashank Shukla;Confined by scope, not by user. A dry run matching on the account alone offered to rewrite two unrelated widgets and a Script Include authored by someone else and merely touched by the retired account."
SP-67,Subtask,SP-66,Sweep the metadata base table rather than a hand-listed set,The first pass listed seven tables and reported zero while 36 rows in nine other metadata classes were still wrongly stamped. Scope confines the sweep so new classes are covered without editing the script.,Shashank Shukla,Shashank Shukla,Highest,Done,Done,governance,One Time Scripts,,,18/Aug/26 10:00 AM,"28/Aug/26 05:00 PM;Shashank Shukla;The first pass enumerated seven tables, reported zero and looked finished while 36 rows across nine other metadata classes were still wrongly stamped. Querying the base class and letting scope confine it covers new classes without editing the script."
SP-68,Subtask,SP-66,Standing check that the sweep returns zero,A single query catches a wrong-profile stamp whatever class it lands on. Deletion tombstones are excluded deliberately.,Neha Chauhan,Shashank Shukla,Medium,Done,Done,governance,One Time Scripts,,,19/Aug/26 10:00 AM,"28/Aug/26 05:00 PM;Neha Chauhan;One query, and it catches a wrong-profile stamp whatever class it lands on. Deletion tombstones are excluded deliberately: rewriting who deleted what is falsifying history."
SP-69,Story,SP-6,Retarget the application and test pack to the new instance,Instance URL and login move to the gitignored connection file; the pack and the documents point at dev227442.,Shashank Shukla,Geetha Nallamada,High,Done,Done,platform,tools,Sprint 7,5,31/Aug/26 10:00 AM,03/Sept/26 05:00 PM;Shashank Shukla;Credentials stay out of the repository. The instance URL and login live in a gitignored file that travels in the folder ZIP.
SP-70,Subtask,SP-69,Three-track install runbook,"SETUP.md splits the Power BI demo, the test pack and widget deployment into independent tracks so nobody hunts for a build step that never existed.",Divya Maram,Shashank Shukla,Medium,Done,Done,docs,docs,,,31/Aug/26 10:00 AM,"03/Sept/26 05:00 PM;Divya Maram;Three independent tracks, each listing only its own dependencies, plus an explicit statement that most of the repository has no build step so nobody goes hunting for one."
SP-71,Story,SP-7,Business requirements signed off,"Shift logging, CO entitlement, approval and pay computation in scope; table ACLs explicitly out of scope for the proof of concept.",Geetha Nallamada,Geetha Nallamada,High,Done,Done,docs,docs,Sprint 1,5,05/Jun/26 10:00 AM,"19/Jun/26 05:00 PM;Geetha Nallamada;Table ACLs are explicitly out of scope for the proof of concept. That is a scope decision, not an oversight. SP-82 carries the work if this goes to production."
SP-72,Story,SP-7,Data model roles and business rules documented,"The README documents the five tables, the roles and the rules in depth. Read before changing behaviour.",Geetha Nallamada,Geetha Nallamada,Medium,Done,Done,docs,docs,Sprint 2,5,22/Jun/26 10:00 AM,03/Jul/26 05:00 PM;Geetha Nallamada;Read this before changing any behaviour. The month indexing rule and the CO ordering rules are both documented here.
